AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,DATE_BUILD,REG_FEE,COMMIS,SALES_PRICE,Area
Karapakkam,1004,131,1.0,1.0,3,2,15-05-1967,380000,144400,7600000,12
Anna Nagar,1986,26,2.0,1.0,5,0,22-12-1995,760122,304049,21717770,4
Adyar,909,70,1.0,1.0,3,2,09-02-1992,421094,92114,13159200,0
Velachery,1855,14,3.0,2.0,5,0,18-03-1988,356321,77042,9630290,15
Karapakkam,1226,84,1.0,1.0,3,2,13-10-1979,237000,74063,7406250,12
Chrompet,1220,36,2.0,1.0,4,0,12-09-2009,409027,198316,12394750,7
Chrompet,1167,137,1.0,1.0,3,0,12-04-1979,263152,33955,8488790,7
Velachery,1847,176,3.0,2.0,5,0,15-03-1996,604809,235204,16800250,15
Chrompet,771,175,1.0,1.0,2,0,14-04-1977,257578,33236,8308970,7
Velachery,1635,74,2.0,1.0,4,0,26-06-1991,323346,121255,8083650,15
Chrompet,1203,78,2.0,1.0,4,2,26-10-1978,403326,119504,14938000,7
Chrompet,1054,143,1.0,1.0,3,0,26-02-1972,245693,141746,9449730,7
Chrompet,1196,137,1.0,1.0,3,0,16-02-1991,289554,35097,8774370,7
Adyar,1056,83,1.0,1.0,3,2,07-01-1981,319141,37546,9386490,0
Velachery,1865,157,3.0,2.0,5,0,24-11-1956,619987,294494,15499680,15
Velachery,1868,148,3.0,2.0,5,0,14-09-2000,597135,188569,15714080,15
Karapakkam,1639,175,2.0,2.0,4,2,09-11-1991,285648,77904,8656000,12
Chrompet,796,134,1.0,1.0,2,2,03-01-1975,316464,130951,10912550,7
Adyar,1136,69,1.0,1.0,3,2,13-04-1978,323214,49725,8287550,0
Anna Nagar,1902,168,2.0,1.0,5,2,13-07-1970,742113,212032,21203240,4
Chrompet,1069,53,1.0,1.0,3,2,20-04-2009,283544,43622,10905530,7
Chrompet,931,96,1.0,1.0,3,2,19-12-1986,248021,27558,9185970,7
KK Nagar,2010,114,3.0,2.0,5,0,09-05-1999,327762,262210,10925400,9
Chrompet,1074,100,1.0,1.0,3,0,27-07-1994,288821,86646,9627380,7
TNagar,1972,111,2.0,1.0,5,0,14-05-2008,487297,167073,13922760,14
T Nagar,1685,105,1.0,1.0,4,0,27-07-1980,352830,176415,12601080,13
Adyar,1130,29,1.0,1.0,3,2,17-11-1981,468417,53533,13383350,0
Karapakkam,1301,59,1.0,1.0,3,2,14-11-2003,357283,71457,7939625,12
Adyar,730,185,1.0,1.0,2,2,28-08-1972,265449,53090,8848285,0
T Nagar,1806,138,2.0,1.0,5,0,27-08-1978,430852,113382,11338200,13
Anna Nagar,1981,173,2.0,1.0,5,0,03-04-2000,373300,218831,12872430,4
Adyar,868,15,1.0,1.0,3,0,17-08-2001,325514,72336,9042050,0
T Nagar,1721,117,1.0,1.0,4,2,31-03-1992,416483,223116,14874380,13
Velachery,1755,16,2.0,1.0,4,2,03-05-1987,306671,173780,10222380,15
Anna Nagar,1709,130,1.0,1.0,4,0,24-11-2003,452501,90500,12928590,4
KK Nagar,2114,46,3.0,2.0,5,2,14-05-1989,632334,281037,17564820,9
Karapakkam,1226,180,1.0,1.0,3,0,30-05-1983,154109,114339,4971250,12
Velachery,1648,111,2.0,1.0,4,2,31-01-1998,275120,82536,9170660,15
Chrompet,856,36,1.0,1.0,3,2,13-11-1985,332269,103834,10383420,7
Adyar,904,52,1.0,1.0,3,0,03-02-1969,348042,23203,11601400,0
Chrompet,1198,105,1.0,1.0,3,0,30-12-1976,255727,98991,8249260,7
Karapakkam,931,16,1.0,1.0,3,0,07-10-1993,291669,166668,6944500,12
Karapakkam,1290,86,1.0,1.0,3,2,30-08-1961,364015,92940,7745000,12
Karapakkam,507,49,1.0,1.0,2,2,03-04-1964,252032,74464,5728000,12
KK Nagar,2492,113,4.0,2.0,6,0,10-12-1993,917550,224706,18725520,9
Karapakkam,851,105,1.0,1.0,2,0,18-09-1982,167896,39295,3572250,12
T Nagar,1882,189,2.0,1.0,5,2,23-11-1985,433393,272877,16051580,13
Anna Nagar,1710,15,1.0,1.0,4,2,15-11-1998,808639,161728,20215970,4
Karapakkam,1412,28,2.0,2.0,4,0,13-11-1982,251370,192717,8379000,12
Adyar,779,51,1.0,1.0,2,0,14-10-1997,190463,31744,5290635,0
T Nagar,1655,19,1.0,1.0,4,0,29-05-1980,376468,238430,12548930,13
Karapakkam,940,167,1.0,1.0,3,0,15-04-1961,263599,64435,5857750,12
KK Nagar,1667,126,2.0,1.0,4,2,27-02-2007,364810,268243,10729700,9
KK Nagar,1926,49,3.0,2.0,5,2,15-08-1999,816325,153061,17006780,9
Adyar,718,75,1.0,1.0,2,2,30-10-1977,211662,55701,5570050,0
Karapakkam,545,154,1.0,1.0,2,0,19-01-1982,165738,88651,3854375,12
Karapakkam,1249,25,1.0,1.0,3,2,21-09-1973,318010,120328,8594875,12
T Nagar,1894,187,2.0,1.0,5,2,19-06-1968,406478,162591,13549250,13
Karapakkam,1469,200,2.0,2.0,4,0,13-12-2006,284423,132731,9480750,12
Adyar,916,32,1.0,1.0,3,2,15-08-1980,228053,23390,5847520,0
Chrompet,934,11,1.0,1.0,3,2,26-04-1986,310749,58265,9710900,7
Karapakkam,1691,100,2.0,2.0,4,0,09-05-1980,319558,178576,9398750,12
Karapakkam,1236,36,1.0,1.0,3,0,30-04-1972,334638,114481,8806250,12
T Nagar,1577,23,1.0,1.0,4,2,07-10-1971,302183,193397,12087330,13
Anna Nagar,1915,13,2.0,1.0,5,2,20-01-1970,354391,170107,14175620,4
Anna Nagar,1600,154,1.0,1.0,4,2,06-10-1991,309941,166891,11920820,4
Velachery,1579,58,2.0,1.0,4,2,20-10-1987,467766,240565,13364730,15
Adyar,1260,89,2.0,2.0,4,0,28-07-1983,256150,34615,6922975,0
Adyar,1021,176,1.0,1.0,3,0,23-12-2004,361868,175098,11673175,0
KK Nagar,2174,48,3.0,2.0,5,2,05-11-1988,548929,313674,13069740,9
Anna Nagar,1589,39,1.0,,4,0,02-04-1966,451857,85486,12212350,4
Adyar,668,177,1.0,1.0,2,2,22-03-2005,329074,102836,10283575,0
Velachery,1724,116,2.0,1.0,4,2,22-04-1952,358259,152260,8956480,15
Adyar,890,116,1.0,1.0,3,2,27-07-1981,251557,43124,7187350,0
Adyar,1218,51,2.0,2.0,4,0,20-06-1977,377246,138323,12574850,0
Anna Nagar,1792,41,1.0,1.0,4,2,26-02-1990,514532,250313,13906270,4
Karapakkam,1378,192,2.0,2.0,4,0,21-02-2003,297525,208268,9917500,12
Karapakkam,898,72,1.0,1.0,3,2,29-07-1980,345190,215744,8629750,12
Anna Nagar,1928,148,2.0,1.0,5,0,20-08-2001,466682,105003,11667050,4
Chrompet,1233,24,2.0,1.0,4,0,11-08-1975,245429,107989,9817150,7
Velachery,1618,100,2.0,1.0,4,2,09-08-1967,370522,92631,9263050,15
